tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,530.35,5.50,542.70,252.50,5334,5324,1400,23274,0.229183,0.228753,0.060153,0.174161,0.000000,6
2000,20,550.70,5.50,1074.70,252.70,4798,4803,1300,20090,0.238825,0.239074,0.064709,0.000000,0.000000,16
3000,19,602.95,5.37,1735.26,253.21,4657,4666,1165,19167,0.242970,0.243439,0.060782,0.000000,0.000000,25
4000,19,600.63,5.37,2297.37,253.42,4663,4653,1152,19080,0.244392,0.243868,0.060377,0.000000,0.000000,35
5000,19,597.95,5.37,2886.84,253.63,4649,4658,1078,19075,0.243722,0.244194,0.056514,0.000000,0.000000,45
6000,19,610.53,5.37,3542.00,252.58,4646,4647,1008,19063,0.243718,0.243771,0.052877,0.000000,0.000000,54
7000,19,620.21,5.37,4158.84,252.63,4669,4652,1006,19070,0.244835,0.243943,0.052753,0.000000,0.000000,64
8000,19,669.95,5.37,4830.42,254.42,4840,4684,864,19060,0.253935,0.245750,0.045331,0.000000,0.000000,74
9000,19,682.26,5.37,5534.84,253.53,4837,4670,864,19054,0.253857,0.245093,0.045345,0.000000,0.000000,83
10000,19,687.16,5.37,6206.42,252.32,4847,4670,867,19060,0.254302,0.245016,0.045488,0.000000,0.000000,93
11000,19,700.58,5.37,6910.84,253.32,4840,4681,867,19054,0.254015,0.245670,0.045502,0.000000,0.000000,102
12000,19,698.47,5.37,7582.42,252.84,4840,4672,864,19060,0.253935,0.245121,0.045331,0.000000,0.000000,112
13000,19,695.21,5.37,8254.00,252.74,4846,4673,864,19060,0.254250,0.245173,0.045331,0.000000,0.000000,122
14000,19,700.47,5.37,8958.42,253.84,4839,4683,857,19054,0.253962,0.245775,0.044977,0.000000,0.000000,131
15000,19,723.84,5.37,9684.74,252.53,4862,4692,722,19050,0.255223,0.246299,0.037900,0.000000,0.000000,141
16000,19,752.53,5.37,10438.42,252.89,4870,4696,720,19045,0.255710,0.246574,0.037805,0.000000,0.000000,150
17000,19,748.84,5.37,11164.74,254.53,4862,4706,720,19050,0.255223,0.247034,0.037795,0.000000,0.000000,160
18000,19,744.37,5.37,11891.05,253.21,4859,4692,723,19050,0.255066,0.246299,0.037953,0.000000,0.000000,170
19000,19,750.79,5.37,12644.74,252.11,4870,4692,720,19045,0.255710,0.246364,0.037805,0.000000,0.000000,179
20000,19,747.11,5.37,13371.05,254.11,4862,4707,722,19050,0.255223,0.247087,0.037900,0.000000,0.000000,189
21000,19,743.58,5.37,14097.37,253.53,4861,4694,720,19050,0.255171,0.246404,0.037795,0.000000,0.000000,199
22000,22,652.18,5.73,12828.73,252.77,4896,4703,727,19107,0.256241,0.246140,0.038049,0.131148,0.000000,210
23000,100,969.49,7.50,3743.09,251.94,25993,15219,11199,92537,0.280893,0.164464,0.121022,0.444234,0.000000,216
24000,100,980.12,7.50,4743.09,252.51,28135,16268,12284,100000,0.281350,0.162680,0.122840,0.000000,0.000000,216
25000,100,992.34,7.50,5743.09,252.79,28165,16264,12277,100000,0.281650,0.162640,0.122770,0.000000,0.000000,216
26000,100,997.48,7.50,6743.09,252.94,28155,16268,12291,100000,0.281550,0.162680,0.122910,0.000000,0.000000,216
27000,100,997.77,7.50,7743.09,252.11,28143,16248,12296,100000,0.281430,0.162480,0.122960,0.000000,0.000000,216
28000,100,997.79,7.50,8743.09,251.90,28139,16257,12291,100000,0.281390,0.162570,0.122910,0.000000,0.000000,216
29000,100,715.23,7.50,9743.09,251.56,28131,16261,12285,100000,0.281310,0.162610,0.122850,0.000000,0.000000,216
30000,40,339.75,6.75,11852.48,252.68,23723,14097,10004,84435,0.280962,0.166957,0.118482,0.298655,0.000000,216
31000,34,403.12,6.53,11649.65,252.12,10563,7155,3266,36128,0.292377,0.198046,0.090401,0.337710,0.000000,219
32000,34,402.38,6.53,12057.79,253.00,10585,7204,3268,36263,0.291895,0.198660,0.090119,0.333937,0.000000,222
33000,35,388.23,6.57,12029.74,252.57,10549,7172,3246,36152,0.291796,0.198385,0.089788,0.336024,0.000000,225
34000,36,377.72,6.61,12086.28,252.17,10606,7187,3274,36246,0.292612,0.198284,0.090327,0.335651,0.000000,228
35000,35,386.31,6.57,12821.89,253.23,10580,7192,3268,36185,0.292386,0.198756,0.090314,0.337710,0.000000,232
36000,34,398.68,6.53,13538.82,252.91,10562,7171,3254,36127,0.292358,0.198494,0.090071,0.337503,0.000000,236
37000,35,412.63,6.57,13621.74,252.26,10448,7104,3049,35674,0.292874,0.199137,0.085468,0.336600,0.000000,239
38000,37,389.70,6.65,13371.32,253.16,10690,7252,3171,36535,0.292596,0.198495,0.086793,0.340912,0.000000,242
39000,41,350.51,6.78,12506.37,252.51,10674,7225,3169,36492,0.292502,0.197989,0.086841,0.337497,0.000000,243
40000,33,438.33,6.48,16018.73,252.27,10684,7236,3161,36514,0.292600,0.198171,0.086570,0.332574,0.000000,243
41000,36,401.47,6.61,14784.72,253.08,10696,7251,3182,36603,0.292216,0.198099,0.086933,0.334953,0.000000,245
42000,35,411.37,6.57,15618.37,252.60,10655,7207,3145,36395,0.292760,0.198022,0.086413,0.335240,0.000000,247
43000,34,424.03,6.53,16571.91,252.18,10687,7223,3164,36508,0.292730,0.197847,0.086666,0.332983,0.000000,248
44000,36,399.11,6.61,16167.50,252.97,10686,7238,3171,36504,0.292735,0.198280,0.086867,0.334626,0.000000,251
45000,38,378.87,6.68,15734.79,252.68,10678,7229,3163,36475,0.292748,0.198191,0.086717,0.338507,0.000000,252
46000,37,387.32,6.65,16400.73,252.46,10705,7235,3181,36559,0.292814,0.197899,0.087010,0.337193,0.000000,254
47000,42,339.10,6.81,14640.10,253.07,10651,7225,3152,36390,0.292690,0.198544,0.086617,0.338128,0.000000,258
48000,33,437.88,6.48,19142.12,252.42,10642,7206,3159,36403,0.292339,0.197951,0.086779,0.335138,0.000000,259
49000,37,386.78,6.65,17510.41,252.49,10703,7236,3174,36526,0.293024,0.198105,0.086897,0.338778,0.000000,262
50000,36,397.36,6.61,18535.56,253.14,10671,7238,3158,36458,0.292693,0.198530,0.086620,0.342692,0.000000,263
51000,36,397.42,6.61,18985.00,252.92,10675,7221,3165,36483,0.292602,0.197928,0.086753,0.336800,0.000000,264
52000,35,408.09,6.57,20058.57,252.29,10686,7236,3167,36528,0.292543,0.198095,0.086701,0.334138,0.000000,263
53000,35,410.20,6.57,20486.29,252.91,10646,7217,3158,36406,0.292424,0.198237,0.086744,0.339345,0.000000,263
54000,38,373.79,6.68,19184.45,252.74,10665,7217,3165,36449,0.292601,0.198003,0.086834,0.341125,0.000000,263
55000,35,408.94,6.57,21249.03,252.40,10655,7220,3166,36448,0.292334,0.198090,0.086863,0.333561,0.000000,264
56000,38,374.92,6.68,20003.45,252.89,10682,7242,3175,36523,0.292473,0.198286,0.086932,0.333778,0.000000,265
57000,36,393.67,6.61,21560.75,252.44,10673,7236,3165,36489,0.292499,0.198306,0.086738,0.335572,0.000000,264
58000,37,385.24,6.65,21378.65,252.32,10660,7196,3155,36395,0.292897,0.197719,0.086688,0.337612,0.000000,264
59000,36,396.31,6.61,22174.89,253.14,10689,7247,3178,36563,0.292345,0.198206,0.086918,0.336360,0.000000,265
60000,38,372.47,6.68,21356.47,252.74,10712,7245,3194,36670,0.292119,0.197573,0.087101,0.328602,0.000000,266
61000,34,419.50,6.53,24411.59,252.12,10724,7243,3193,36665,0.292486,0.197545,0.087086,0.328874,0.000000,266
62000,35,406.03,6.57,23583.20,253.11,10682,7237,3190,36693,0.291118,0.197231,0.086938,0.328137,0.000000,269
63000,38,370.74,6.68,22139.87,252.63,10681,7148,3098,36232,0.294795,0.197284,0.085505,0.336646,0.000000,267
64000,40,352.65,6.75,21450.80,252.40,10640,7206,3145,36326,0.292903,0.198370,0.086577,0.339557,0.000000,271
65000,38,372.32,6.68,23054.21,252.89,10703,7251,3165,36587,0.292536,0.198185,0.086506,0.334471,0.000000,271
66000,35,404.77,6.57,25415.17,252.71,10702,7239,3191,36620,0.292245,0.197679,0.087138,0.331821,0.000000,271
67000,36,393.47,6.61,25231.83,252.31,10718,7245,3178,36587,0.292946,0.198021,0.086861,0.338981,0.000000,272
68000,36,391.53,6.61,25587.39,253.25,10673,7254,3168,36502,0.292395,0.198729,0.086790,0.334717,0.000000,272
69000,35,403.86,6.57,26833.49,252.63,10673,7214,3165,36479,0.292579,0.197758,0.086762,0.336338,0.000000,272
70000,34,414.97,6.53,28253.97,252.44,10674,7227,3168,36456,0.292791,0.198239,0.086899,0.336579,0.000000,274
71000,38,370.11,6.68,25659.55,252.84,10651,7224,3156,36406,0.292562,0.198429,0.086689,0.339453,0.000000,276
72000,37,380.73,6.65,26835.95,252.38,10644,7205,3145,36354,0.292788,0.198190,0.086510,0.337945,0.000000,277
73000,36,390.19,6.61,28147.28,252.31,10698,7225,3171,36519,0.292943,0.197842,0.086832,0.340374,0.000000,277
74000,40,350.00,6.75,25804.00,252.90,10687,7234,3162,36489,0.292883,0.198252,0.086656,0.338022,0.000000,277
75000,36,389.42,6.61,29199.53,252.44,10690,7237,3182,36544,0.292524,0.198035,0.087073,0.336478,0.000000,277
76000,38,369.47,6.68,27860.21,252.21,10701,7233,3169,36503,0.293154,0.198148,0.086815,0.340732,0.000000,278
77000,35,402.00,6.57,30740.46,253.26,10646,7224,3149,36363,0.292770,0.198663,0.086599,0.338728,0.000000,277
78000,37,375.92,6.65,29643.95,252.65,10676,7224,3171,36471,0.292726,0.198075,0.086946,0.341609,0.000000,273
79000,36,386.08,6.61,30869.78,252.31,10685,7228,3167,36494,0.292788,0.198060,0.086781,0.336630,0.000000,276
80000,37,376.00,6.65,30557.00,253.00,10646,7224,3153,36405,0.292432,0.198434,0.086609,0.335389,0.000000,277
81000,36,393.83,6.61,31763.92,252.86,10627,7204,3076,36353,0.292328,0.198168,0.084615,0.337067,0.000000,274
82000,38,390.89,6.68,30608.71,252.26,10608,7178,2988,36211,0.292950,0.198227,0.082516,0.339113,0.000000,277
83000,35,424.49,6.57,33761.89,253.23,10743,7272,3056,36701,0.292717,0.198142,0.083267,0.340296,0.000000,277
84000,36,412.86,6.61,33385.11,252.78,10764,7265,3058,36762,0.292802,0.197623,0.083184,0.339057,0.000000,277
85000,35,442.20,6.57,34127.89,252.20,10621,7301,2881,36284,0.292719,0.201218,0.079401,0.337608,0.000000,279
86000,37,427.05,6.65,32846.32,252.86,10711,7398,2902,36608,0.292586,0.202087,0.079272,0.341130,0.000000,280
87000,39,402.67,6.72,31182.44,252.56,10814,7447,2951,36999,0.292278,0.201276,0.079759,0.334022,0.000000,281
88000,36,437.47,6.61,33619.36,252.33,10808,7417,2934,36882,0.293043,0.201101,0.079551,0.335878,0.000000,281
89000,35,450.71,6.57,35028.74,253.17,10785,7426,2925,36837,0.292776,0.201591,0.079404,0.338518,0.000000,282
90000,36,437.17,6.61,34447.61,252.78,10792,7417,2935,36884,0.292593,0.201090,0.079574,0.336190,0.000000,284
91000,39,403.59,6.72,32324.90,252.54,10832,7433,2949,36950,0.293153,0.201164,0.079811,0.342365,0.000000,284
92000,41,382.78,6.78,31254.76,252.90,10792,7436,2934,36855,0.292823,0.201764,0.079609,0.340710,0.000000,285
93000,38,414.89,6.68,34314.34,252.68,10812,7431,2929,36871,0.293239,0.201541,0.079439,0.346417,0.000000,285
94000,37,423.70,6.65,35794.59,252.32,10828,7435,2950,36953,0.293021,0.201202,0.079831,0.343447,0.000000,285
95000,38,413.87,6.68,35439.37,253.05,10829,7451,2964,37030,0.292439,0.201215,0.080043,0.340360,0.000000,285
96000,36,437.39,6.61,37801.06,252.67,10802,7432,2946,36910,0.292658,0.201355,0.079816,0.340062,0.000000,284
97000,38,412.97,6.68,35573.18,252.61,10801,7426,2938,36869,0.292956,0.201416,0.079688,0.340494,0.000000,286
98000,37,423.73,6.65,36805.84,253.08,10763,7419,2928,36802,0.292457,0.201592,0.079561,0.341731,0.000000,287
99000,39,400.00,6.72,35454.33,252.36,10849,7450,2966,37075,0.292623,0.200944,0.080000,0.331506,0.000000,289
100000,36,436.06,6.61,38842.50,252.25,10814,7418,2955,36923,0.292880,0.200905,0.080031,0.339674,0.000000,291
